Model,Target,R2,RMSE,MAE
Polynomial Ridge,xD_Benzene,0.9646,0.0286,0.0233
Polynomial Ridge,xB_Toluene,0.8498,0.0436,0.0356
Polynomial Ridge,Q_Condenser_kW,0.9999,4.651,3.6275
Polynomial Ridge,Q_Reboiler_kW,0.9999,4.6446,3.6281
Random Forest,xD_Benzene,0.4492,0.1128,0.0897
Random Forest,xB_Toluene,0.4346,0.0846,0.0713
Random Forest,Q_Condenser_kW,0.9303,144.3437,115.9189
Random Forest,Q_Reboiler_kW,0.9314,143.1064,116.9648
XGBoost,xD_Benzene,0.9519,0.0333,0.0225
XGBoost,xB_Toluene,0.92,0.0318,0.0184
XGBoost,Q_Condenser_kW,0.9607,108.3557,86.4824
XGBoost,Q_Reboiler_kW,0.9576,112.4665,90.3901
Artificial Neural Network (MLP),xD_Benzene,-13.1112,0.571,0.4583
Artificial Neural Network (MLP),xB_Toluene,-37.0463,0.6941,0.567
Artificial Neural Network (MLP),Q_Condenser_kW,0.9047,168.8313,135.6254
Artificial Neural Network (MLP),Q_Reboiler_kW,0.8847,185.4991,145.0477
